Abstract_ID,Title,Year,Journal,Keywords.author,Abstract,Review,Eco.Quantify,Abiotic,Human,Include?
91,Decadal decline of functional diversity despite increasing taxonomic and phylogenetic diversity of coral reefs under chronic urbanisation stress,2024,ECOLOGICAL INDICATORS,Biodiversity loss; Ecosystem functioning; Evolutionary history; Marine ecosystems; Reef degradation; Resilience,"Coral reefs provide a multitude of ecosystem functions owing to the high levels of biodiversity they host. Coral species, as the foundation of shallow-water reefs, differ in their contributions toward the functioning of the ecosystem due in part to the disparate phylogenetic histories of scleractinian lineages. Understanding the spatial patterns and temporal trajectories of these biodiversity facets, as well as their interrelationships, is critical for more targeted conservation strategies in the face of widespread habitat degradation and climate change. Here, we analyse long-term benthic data spanning 1986 through 2020 on coral reefs in Singapore, which have been impacted by decades of urbanisation-related and thermal stressors, to test for differences between coral biodiversity facets-specifically, taxonomic, phylogenetic (evolutionary relatedness between species), and functional (occupancy of functional trait space) richness and diversity. Analyses show that taxonomic and phylogenetic richness and diversity measures increased over the 35-year period despite declines during major bleaching events. Yet, while taxonomic and phylogenetic diversity increased, functional richness and diversity declined over the same period. Community-weighted trait measures indicate a shift towards dominance of more stresstolerant traits such as slower growth rates, smaller corallite sizes, and massive colony forms. Together, these trends highlight the effects of chronic urban stressors alongside major bleaching events impacting reef assemblages. Critically, such assemblage shifts and functional diversity declines were masked by increasing taxonomic diversity, which is most commonly assessed, and could erode ecosystem resilience. The temporal decoupling of the biodiversity facets examined here underscore the need for more comprehensive monitoring of reefs through a combination of trait-based approaches alongside traditional field surveys at finer taxonomic resolution.",NO,YES,NO,NO,yes
1349,From flood to drought: Integrating water level magnitude and timing to predict floodplain vegetation dynamics in Poyang Lake,2025,ECOLOGICAL INDICATORS,Floodplain vegetation dynamics; Hydrological regime timing; Landsat remote sensing; Vegetation-hydrology resilience indicators; Poyang Lake,"Hydrological variability is a key driver of floodplain vegetation dynamics, yet current models often overlook the role of event timing. In this study, a temporally explicit two-stage modeling framework was developed by integrating a Gaussian stage-area function with random forest residual correction to separately capture water-level magnitude and sequencing effects. Spatial and temporal cross-validation confirmed the robustness of the approach under varying hydrological regimes, supporting the reliability of subsequent threshold analyses. Vegetation structure was further quantified using landscape metrics under different hydrological states. Vegetation cover peaked at similar to 11.2 m stage, while sensitivity analysis revealed that suppression occurred when flood durations ranged from 40 to 100 days or drought-free intervals remained below similar to 60 days; recovery was promoted by dry intervals exceeding similar to 100 days. Strongly connected sub-lakes exhibited frequent vegetation transitions, whereas isolated or semi-regulated basins maintained greater temporal stability but remained vulnerable to the compound disturbances of 2020-2023, especially the 2022 extreme drought. Incorporating timing-based indicators improved model accuracy (R-2 from 0.33 to 0.81) and provided early-warning signals of resilience erosion. These findings offer a replicable framework for wetland ecosystem monitoring and underscore the importance of disturbance-recovery rhythms in guiding adaptive connectivity management.",NO,YES,NO,NO,yes
98,"Assessment of ecosystem stability in the agro-pastoral transitional zone for local sustainable management: A case study in Duolun County, northern China",2024,ECOLOGICAL INDICATORS,Resistance; Resilience; Ecosystem stability; Influencing factors; Land use/land cover; The Agro-pastoral transitional zone,"Assessing the ecosystem stability and the influencing factors in the fragile ecosystem of the agro-pastoral transitional zone of Northern China (APTZNC) is essential for the sustainable provision of multiple ecosystem services and adaptive ecosystem management. In this study, we selected Duolun County in the APTZNC as the study area. The ecosystem stability was assessed in terms of resistance and resilience, and the factors influencing the spatial distribution of stability were explored. The results showed that the mean value of ecosystem resistance in the study area was 0.61 (at a medium-high level), while the mean values of resilience and stability were 0.38 and 0.36, respectively, (at a medium-low level) in the past 21 years. The spatial patterns of ecosystem resistance, resilience, and stability showed significant spatial heterogeneity. Temperature and elevation were both negatively correlated with ecosystem resistance. At the same time, human activities and socioeconomics are the key factors which influence the distribution of stability indicators. The population density and gross domestic product show a correlation with stability, and the stability also varies across different land uses. Forest ecosystems showed high stability compared to croplands and grasslands when exposed to the same climate change perturbations; cropland ecosystems with a high intensity of human disturbance showed a loss of stability, while grassland ecosystems showed a gradual improvement in stability. These findings can provide effective information for sustainable management of different regions or ecosystem types in the context of climate change and intensified human activities.",NO,YES,NO,NO,yes
711,"Potential landscape-scale pollinator networks across Great Britain: structure, stability and influence of agricultural land cover",2018,ECOLOGY LETTERS,Citizen science; ecological networks; ecosystem services; food webs; pollination; resilience; stability,"Understanding spatial variation in the structure and stability of plant-pollinator networks, and their relationship with anthropogenic drivers, is key for maintaining pollination services and mitigating declines. Constructing sufficient networks to examine patterns over large spatial scales remains challenging. Using biological records (citizen science), we constructed potential plant-pollinator networks at 10 km resolution across Great Britain, comprising all potential interactions inferred from recorded floral visitation and species co-occurrence. We calculated network metrics (species richness, connectance, pollinator and plant generality) and adapted existing methods to assess robustness to sequences of simulated plant extinctions across multiple networks. We found positive relationships between agricultural land cover and both pollinator generality and robustness to extinctions under several extinction scenarios. Increased robustness was attributable to changes in plant community composition (fewer extinction-prone species) and network structure (increased pollinator generality). Thus, traits enabling persistence in highly agricultural landscapes can confer robustness to potential future perturbations on plant-pollinator networks.",NO,YES,NO,NO,yes
1902,Low doses of the neonicotinoid insecticide imidacloprid induce ROS triggering neurological and metabolic impairments in Drosophila,2020,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,imidacloprid; lipid dysregulation; neurodegeneration; oxidative stress; vision loss,"Declining insect population sizes are provoking grave concern around the world as insects play essential roles in food production and ecosystems. Environmental contamination by intense insecticide usage is consistently proposed as a significant contributor, among other threats. Many studies have demonstrated impacts of low doses of insecticides on insect behavior, but have not elucidated links to insecticidal activity at the molecular and cellular levels. Here, the histological, physiological, and behavioral impacts of imidacloprid are investigated in Drosophila melanogaster, an experimental organism exposed to insecticides in the field. We show that oxidative stress is a key factor in the mode of action of this insecticide at low doses. Imidacloprid produces an enduring flux of Ca2+ into neurons and a rapid increase in levels of reactive oxygen species (ROS) in the larval brain. It affects mitochondrial function, energy levels, the lipid environment, and transcriptomic profiles. Use of RNAi to induce ROS production in the brain recapitulates insecticide-induced phenotypes in the metabolic tissues, indicating that a signal from neurons is responsible. Chronic low level exposures in adults lead to mitochondrial dysfunction, severe damage to glial cells, and impaired vision. The potent antioxidant, N-acetylcysteine amide (NACA), reduces the severity of a number of the imidacloprid-induced phenotypes, indicating a causal role for oxidative stress. Given that other insecticides are known to generate oxidative stress, this research has wider implications. The systemic impairment of several key biological functions, including vision, reported here would reduce the resilience of insects facing other environmental challenges.",NO,NO,NO,NO,no
1774,Limiting the high impacts of Amazon forest dieback with no-regrets science and policy action,2018,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,ecosystem services; agriculture; hydroelectricity generation; migration; adaptation,"Large uncertainties still dominate the hypothesis of an abrupt large-scale shift of the Amazon forest caused by climate change [Amazonian forest dieback (AFD)] even though observational evidence shows the forest and regional climate changing. Here, we assess whether mitigation or adaptation action should be taken now, later, or not at all in light of such uncertainties. No action/later action would result in major social impacts that may influence migration to large Amazonian cities through a causal chain of climate change and forest degradation leading to lower river-water levels that affect transportation, food security, and health. Net-present value socioeconomic damage over a 30-year period after AFD is estimated between US dollar (USD) $957 billion (x10(9)) and $3,589 billion (compared with Gross Brazilian Amazon Product of USD $150 billion per year), arising primarily from changes in the provision of ecosystem services. Costs of acting now would be one to two orders of magnitude lower than economic damages. However, while AFD mitigation alternatives-e.g., curbing deforestation-are attainable (USD $64 billion), their efficacy in achieving a forest resilience that prevents AFD is uncertain. Concurrently, a proposed set of 20 adaptation measures is also attainable (USD $122 billion) and could bring benefits even if AFD never occurs. An interdisciplinary research agenda to fill lingering knowledge gaps and constrain the risk of AFD should focus on developing sound experimental and modeling evidence regarding its likelihood, integrated with socioeconomic assessments to anticipate its impacts and evaluate the feasibility and efficacy of mitigation/adaptation options.",NO,NO,NO,NO,no
851,Linking species functional roles to their network roles,2016,ECOLOGY LETTERS,Biodiversity; ecosystem functioning; interaction; mutualistic network; resilience; stability; web,"Species roles in ecological networks combine to generate their architecture, which contributes to their stability. Species trait diversity also affects ecosystem functioning and resilience, yet it remains unknown whether species' contributions to functional diversity relate to their network roles. Here, we use 21 empirical pollen transport networks to characterise this relationship. We found that, apart from a few abundant species, pollinators with original traits either had few interaction partners or interacted most frequently with a subset of these partners. This suggests that narrowing of interactions to a subset of the plant community accompanies pollinator niche specialisation, congruent with our hypothesised trade-off between having unique traits vs. being able to interact with many mutualist partners. Conversely, these effects were not detected in plants, potentially because key aspects of their flowering traits are conserved at a family level. Relating functional and network roles can provide further insight into mechanisms underlying ecosystem functioning.",NO,YES,NO,NO,yes
1788,"Arid Soil Bacterial Legacies Improve Drought Resilience of the Keystone Grass, Themeda triandra",2025,MOLECULAR ECOLOGY,amplicon sequencing; drought resilience; endosphere; rhizosphere; soil microbiota; two-step selection,"Plant-microbe interactions are critical to ecosystem functioning and impact soil legacies, where plants exert a lasting influence on the microbial and physicochemical conditions of the soils in which they grow. These soil legacies can affect subsequent plant growth and fitness. Specifically, biotic soil legacies can influence microbially associated plant fitness through the movement of soil microbiota in a two-step selection process: Microbes are recruited from bulk soil into the rhizosphere (the space around roots) and then into the endosphere (within plant roots). Furthermore, these endosphere root microbiota can also influence plant behaviour, shaping bulk soil communities over time. However, the potential of these soil legacies to provide host plant drought tolerance remains poorly understood. In a drought stress greenhouse trial, we show that arid soil legacies increased the biomass of the keystone grass Themeda triandra under both drought and control conditions. We report strong positive associations between T. triandra biomass and bacterial alpha diversity across soils, rhizospheres and endospheres. These findings show that bacterial soil legacies have an important but underappreciated role in grassland species resilience to drought and could be better harnessed to support resilient grassland restoration efforts.",NO,YES,NO,NO,yes
361,Top ten birds indicators of high environmental quality in European cities,2021,ECOLOGICAL INDICATORS,Bird species richness; Conservation; Environmental quality; Greenery; Light pollution; Urban trees; Urban bird diversity,"ABSTR A C T Urban and suburban areas are among the fastest-growing land-use types globally, reducing and fragmenting natural habitats for many animal species and making human-wildlife interactions more common. However, cities also create habitat for several species considered urban tolerant or urban exploiter species. Additionally, the environmental characteristics of urban areas can strongly affect the life quality of citizens. This study aimed to assess the effectiveness of common bird species as indicators of urban areas with high environmental quality within cities. Our study recorded 128 bird species in 1441 point counts distributed in fifteen different European cities. We classified urban areas as high environmental quality - HEQ when they were simultaneously char-acterized by a high vegetation cover and heterogeneity, low level of light pollution, and avian communities with high potential resilience to face ecological stress. Species indicators of HEQ urban areas were identified using the species-level indicator value (IndVal) analysis. Such species can be used as ecological indicators of HEQ in different European cities. The list of top ten birds indicators of HEQ in European cities is led by the Eurasian blackcap, selected as an indicator in more than half of the survey cities. Other birds indicators of HEQ in multiple cities are Blackbird (47%), Great tit (40%), Blue tit, Tree sparrow and Magpie (all 33%). The mean specificity of the top-ranked bird indicator of HEQ urban areas (Eurasian blackcap) was 0.778. Most of the HEQ-indicators are resident or resident/short migratory species characterized by territorial behaviour. Our findings support using multiple species as bioindicators of urban changes by using specific groups with few common species as sur-rogates of HEQ urban areas. The approach proposed in this study can be applied in different European cities to monitor biodiversity status periodically, even involving citizen science initiatives.",NO,YES,NO,NO,yes
1128,Stating mechanisms and refining criteria for ecologically successful river restoration:: a comment on Palmer et al. (2005),2005,JOURNAL OF APPLIED ECOLOGY,criteria; restoration assessment; river rehabilitation; standards,"1. To encourage more project assessment and reporting of restoration outcomes, Palmer et al. (2005) propose five criteria for assessing the ecological success of river restoration. They also suggest that these criteria should help to clarify which activities should qualify for ecological restoration funding and facilitate consistency about what constitutes an ecologically successful restoration project. 2. We critique the five criteria and agree they all merit inclusion in an assessment of successful river restoration. However, the practical application of measuring self-sustainability (resilience) following restoration is potentially problematic and an explicit timeframe is needed to evaluate the results of the restoration. 3. A sixth criterion is proposed that encourages specific hypotheses and/or a conceptual model of the ecological mechanisms by which the proposed activities will achieve their target. This would enhance our understanding of the mechanisms at play for successful river restoration, and provide a more powerful deductive framework likely to lead to appropriate practices that can be applied across rivers. To explore the potential practical applicability of these six criteria, we applied them to a recently published example of river restoration to ascertain its ecological success. 4. Synthesis and applications. We agree with the criteria proposed by Palmer et al. (2005), although the problems of measuring resilience and defining a timeline for recovery should be addressed. We suggest strengthening the deductive framework of restoration projects by formulating some sort of conceptual model. This step could involve scientists, and be a useful way of involving science more explicitly in restoration activities. Agreed-upon criteria for successful restoration will greatly facilitate evaluation of river ecosystem recovery at the critical broader scales where our knowledge is still limited.",NO,NO,NO,NO,no
