paper_id,Criteria met,Justification
35,IN,The study explicitly quantifies vegetation resilience as the posterior mean of negative lag-1 autocorrelation of MODIS EVI estimated via a Bayesian dynamic linear model (with equations provided) and reports resilience trends and changes before/after land-cover change and fire.
86,OUT,"Resilience is only mentioned conceptually (e.g., “may be less resilient” and “could potentially enhance...resilience”) without any explicit resilience metric, proxy statement, or calculation method."
24,OUT,"Although “resilience” is mentioned (keywords and discussion), the study quantitatively analyzes soil nutrients/enzymes, plant performance ratios, and survival without defining or computing any resilience metric or explicit proxy for resilience."
132,OUT,"Although resilience is discussed conceptually (e.g., “reduced resilience” and “overall resilience”), the study does not define or compute a quantitative resilience metric/index or explicitly state that any measured variable is a proxy for resilience."
1125,IN,"The paper explicitly defines resilience as time to return to pre-disturbance state and quantitatively estimates it using computed similarity (Sørensen’s index), CCA-based trajectories, and a calculated regeneration index (0–100) with recovery-period results."
157,OUT,"Although “resilience” is mentioned conceptually, the quantitative analyses compute ecological risk, connectivity, and network robustness (not resilience or an explicit proxy stated as such)."
212,IN,"The study explicitly quantifies tree growth resilience using calculated indices (RT, RC, RS, plus TGR, RE, ARR) and a “line of full resilience” framework with stated computation methods and reported results."
117,IN,"The study explicitly quantifies resilience (and resistance/recovery) using stated equations based on Pmax before drought, at drought end, and after recovery, and reports resilience results."
95,OUT,"Resilience is only mentioned conceptually (e.g., “may…affect resilience”) and no resilience metric, proxy explicitly labeled as resilience, or mathematical/index-based resilience calculation is provided."
114,OUT,"Resilience is only mentioned conceptually (e.g., “assessing forest resilience” and “its resilience”) and no resilience metric/index or proxy explicitly stated as resilience is quantified."
48,OUT,"The paper mentions “ecological resilience” only conceptually and does not define, compute, or use any quantitative resilience metric/proxy in its analyses (it quantifies ecological risk, resistance, and connectivity instead)."
1075,OUT,"Although resilience is discussed conceptually, the quantitative analysis computes canopy “recovery” (difference in % cover before vs after) and does not quantify resilience or an explicit proxy for resilience."
715,OUT,"Although resilience is discussed conceptually, the quantitative analysis computes z-scores, CV, and CCC to identify “oases” and does not explicitly define or calculate resilience (or a stated proxy for resilience) as a metric/predictor."
62,IN,The Methods explicitly quantify ecosystem resilience (ER) via a defined equation for RCi with assigned land-use resilience coefficients and report resilience values/results.
171,OUT,"Although “resilience” is mentioned conceptually, the study quantifies dispersal and beak traits and spatial sorting effects but does not define, compute, or use any numerical resilience metric/proxy in its analyses."
101,OUT,"Although “drought resilience” and “microbial resilience” are mentioned, the study quantifies decomposition and stabilization (kN, ki, S) but does not define, compute, or use any variable explicitly as resilience or a stated proxy for resilience."
126,IN,The study explicitly quantifies resilience using a defined calculation (Equation 3) and analyzes resilience as an intermediate factor affecting ANPP stability.
214,IN,"The study explicitly quantifies demographic resilience by calculating transient metrics for resistance, compensation, and recovery (e.g., first-step/max attenuation, reactivity/max amplification, damping ratio, period of oscillation) from matrix population models and analyzes these results."
238,OUT,"Although “resilience” is mentioned conceptually (e.g., “species richness (and therefore resilience)”), the quantitative analysis only computes species richness/propagule input and does not define, calculate, or use a numerical resilience metric or proxy explicitly as such."
124,IN,"The study quantitatively computes network “restore robustness” as resilience using explicit formulas (e.g., E and D in Eqs. 5–6) and reports improved resilience after optimization."
1084,IN,The study explicitly quantifies “physiological resilience” to heat shock and desiccation using measured PSII quantum yield metrics (Fv/Fm) after recovery under defined stress treatments and reports statistical results.
1189,IN,"The Methods explicitly assign numerical resilience and resistance indicator classes (1–10) to climate regimes via a defined ruleset/crosswalk (Table 1) and compute/mapped these indicators and their changes over time (e.g., Sections 2.4–2.6, Results 3.2–3.4)."
163,OUT,The paper quantifies temporal stability (inverse CV) and pollinator synchrony/asynchrony (Loreau & de Mazancourt index) but does not explicitly define or compute resilience or state these metrics are proxies for resilience.
191,IN,The study explicitly quantifies resilience by calculating RLDC and RSDC (ratios of LVP and SVP to degraded patch coverage) from UAV images as measures of patch resilience and reports statistical results for these metrics.
187,OUT,"Resilience is only mentioned qualitatively (for example, “suggesting strong functional resilience”) without any resilience metric, proxy explicitly stated as such, or mathematical/index-based computation of resilience in this study."
9,OUT,"Resilience is only mentioned conceptually (e.g., “stability and resilience”) and no resilience metric, proxy explicitly stated as such, or calculation method is provided."
153,IN,"The study explicitly quantifies resilience by defining it as post-disturbance recovery ability and operationalizing it as significantly increased NDVI trend (Slope>0, P<0.05) computed via a linear regression formula (Formula 1) and used in ecological source identification."
226,OUT,"Although resilience is discussed, the quantitative analysis computes equilibrium tree density (as a proxy for fitness) and compares densities across fire regimes without defining or calculating a resilience metric/index."
137,IN,"The study explicitly quantifies ecosystem resilience (ER) within the VORS ecosystem health framework, assigns numerical resilience values by land-use type (Table 2), and uses these in the ecosystem health index formula EHI = (V×O×R×S/4)^(1/4)."
1117,IN,The paper explicitly defines and computes an operational quantitative index of short-term retrospective resilience as 1/¯D (inverse of median standardized NDVI change intensity) for each scale domain and reports the resulting resilience estimates (Table 6).
42,IN,The study explicitly quantifies ecological resilience via an ecological resilience index (ER/ERI) with mathematical formulas (Eqs. 4–6) and incorporates it into the ecological vulnerability index (EVI = ESI + 1 − ERI; Eq. 1) with reported results.
92,OUT,"Resilience is only mentioned conceptually (e.g., seed bank role in vegetation resilience) and no resilience metric, proxy explicitly stated as resilience, or calculation of resilience is provided."
84,IN,"The Methods explicitly calculate drought resilience indices (Rt, Rc, Rs, RelRs, recovery period, total growth reduction, recovery rate) following Lloret et al. (2011) and report resilience results and comparisons among species and sites."
112,IN,The study explicitly quantifies tourism socio-ecological system resilience (TSESR) by constructing an index system and computing a TSESR value (0–1) using an Improved-TOPSIS method with explicit formulas and reported results.
269,OUT,"The paper quantifies resistance and recovery (normalized to baseline) and analyzes thresholds and resistance–recovery relations, but it does not explicitly define or compute “resilience” (or a stated proxy for resilience) as a quantitative metric."
109,OUT,"Although “resilience” is mentioned (e.g., “bleaching resilience”), the paper does not define or compute a quantitative resilience metric/index, instead modelling bleaching susceptibility/resistance and related demographic parameters."
227,IN,The study explicitly defines resilience as tipping point position and quantitatively computes it via oxic–anoxic/anoxic–oxic tipping points and effect sizes (differences in oxygen diffusivity) across trait-diversity scenarios.
85,OUT,"Although “resilience” is mentioned (e.g., “recovery resilience” and “ecosystem resilience”), the quantitative analyses model kelp cover as the outcome and do not define or compute any resilience metric/proxy as a quantified variable."
230,IN,"The study explicitly quantifies resilience by computing network efficiency and a defined network eco-efficiency (NEE) via equations (3) and (6) and uses these metrics in cascading-failure simulations to derive resilience-related thresholds (e.g., “helpful for the ecosystem’s increased resilience”)."
98,IN,The study explicitly quantifies ecosystem resilience (RI = 1-δ from an ARx model) and computes stability (ESI = RI/(1+VSI)) with reported resilience results.
228,IN,The study explicitly quantifies reef resilience/recovery potential by computing a Recovery Index (RI) using the TOPSIS method with explicit equations (1–7) and reports RI results and rankings for sites.
254,OUT,"Resilience is only discussed conceptually (e.g., “mechanisms of resilience”) and no resilience metric/index/mathematical method is defined or calculated, nor is any variable explicitly stated as a proxy for resilience."
6,IN,"The Methods explicitly quantify resilience components (resistance, recovery, and invariability) with mathematical formulas and compute them for analysis."
1074,IN,"The study explicitly quantifies resilience as mean herbivore biomass, provides mathematical expressions for it (e.g., eqns 5 and 7–9) and computes equilibrium resilience outcomes under static vs rotational MPA strategies."
80,IN,"The Methods explicitly compute drought “resilience” (Rs) using Lloret et al. (2011) indices with formulas (Rt, Rc, Rs) based on BAI during, before, and after drought, and report resilience results."
777,OUT,"Although the paper discusses “high carbon resilience,” it does not define or compute a resilience metric/index (it only quantifies mortality, biomass, and water deficit)."
218,IN,The Methods explicitly quantify drought resilience using standardized impact and recovery rate proxies with given formulas (I and RR) and analyze these metrics statistically.
581,IN,The study explicitly treats predicted recovery time as an indicator/proxy of resilience and quantitatively computes it by iteratively applying a modeled annual rate-of-change equation to estimate years to recovery across the landscape.
373,OUT,"Although “drought resilience” is mentioned conceptually, the quantitative analysis computes phenotypic plasticity (RDPI) and ecotypic differentiation, not resilience or an explicit proxy stated as resilience."
237,OUT,"Although resilience is mentioned conceptually, the study does not define, compute, or use any quantitative resilience metric or proxy in its analyses."
1110,OUT,"Although resilience is discussed conceptually, the study does not define or compute a quantitative resilience metric/index or explicitly use a quantified proxy for resilience in analysis."
54,OUT,"Although the paper states the microbiome showed “high resilience to disturbance,” it does not define or compute any resilience metric/index or use a quantified resilience proxy in analyses."
751,OUT,"Although resilience is mentioned conceptually (e.g., “stability and resilience to further disturbance”), the study quantifies network metrics and pollinator-attraction indices but does not define or compute a resilience metric/proxy explicitly as resilience."
251,OUT,"Although resilience is discussed conceptually (e.g., “functionally resilient”), the quantitative analyses measure seed removal/organism abundances and do not define or compute a resilience metric/index or explicitly state any measured variable is a proxy for resilience."
229,OUT,"Although resilience is discussed conceptually (e.g., long-interval plots as a “reference condition for resilient post-fire recovery”), the study quantifies regeneration, biomass, and fuels but does not compute or use any explicit resilience metric/proxy as a quantified variable."
260,IN,The study explicitly quantifies farmland ecosystem resilience (FER) using a defined calculation method and formulas (Eq. 1–2) and reports computed FER results for Ethiopia (2003–2018).
1034,OUT,"The paper quantitatively estimates fish species tolerance to human pressures and only mentions resilience conceptually (e.g., “short-term resilience may mask responses”) without defining or calculating any resilience metric or proxy."
768,OUT,"Although resilience is discussed conceptually, the quantitative analysis computes compositional dissimilarity and richness (Hedges g) rather than an explicit resilience metric or stated proxy for resilience."
989,OUT,"Although “resilience” is listed as an attribute and metrics include densities of individuals by FishBase resilience categories, the paper does not compute or report a resilience index/mathematical resilience measure as an outcome or predictor."
23,OUT,"Although “resilient/resilience” is mentioned conceptually, the study does not define or compute any resilience metric/index or state that any quantified variable is a proxy for resilience."
178,IN,"The study explicitly quantifies ecological resilience by constructing an ER index system (RE, AD, RC) and calculating ER scores for 76 cities using the entropy method with explicit equations (1–7) and reported results."
195,OUT,"Although resilience is discussed conceptually, the study quantifies mycorrhizal dominance, biomass change, and N fixation but does not define or compute a resilience metric/index or use an explicit proxy stated as resilience."
256,IN,"The study explicitly quantifies resilience as recovery from disturbance using computed recovery metrics (e.g., damping time, T0, Thalf) derived from IPM/IBM simulations and reports edge-vs-centre results."
33,OUT,"Although “reef resilience” is mentioned, the study quantifies reef states and state shifts (via clustering, Bayesian models, and Markov chains) but does not define or compute any resilience metric/proxy as such."
493,IN,The Methods explicitly define and compute resilience with a formula (Resilience = (Drecovery − Arecovery)/Arecovery) and report quantitative resilience results for multiple ecosystem functions and multifunctionality.
267,IN,The Methods explicitly quantify resilience with a mathematical expression (slope of ln-response ratio over time) and report resilience results in the Results/Discussion.
139,OUT,"Although the paper discusses resilience conceptually and defines it, it does not provide a quantitative resilience metric/index or state that any calculated variable is a proxy for resilience."
257,IN,"The study explicitly quantifies resilience via defined, computed resistance (maximum perennial grass cover loss vs. no-drought control) and recovery (time to regain 80% of control cover) metrics and reports results."
87,IN,"The paper explicitly assesses and quantifies ecological network resilience using a cascade failure model and computes resilience-related network metrics with given equations (e.g., connectivity robustness, global efficiency, natural connectivity) under multiple scenarios."
90,IN,"The Methods explicitly define and compute ecological network resilience using the largest connectivity subgraph S = n/N (Eq. 6) and a combined normalized resilience index R from S and network efficiency E (Eq. 7), and report resilience results under disturbance simulations."
141,OUT,"Resilience is only mentioned conceptually (e.g., “resistance and resilience”) and no resilience metric, proxy, or calculation is defined or quantified in the analyses."
63,OUT,"Although resilience is discussed conceptually (e.g., “weakening of resilience” and “enhance resilience”), the study does not provide any mathematical expression, index, or explicit quantitative proxy used as a resilience metric in its analyses."
89,OUT,"Although resilience is mentioned conceptually, the quantitative analysis computes network robustness (RG) and connectivity metrics without explicitly defining or calculating resilience or a stated proxy for resilience."
58,OUT,"Although the paper mentions “resilience” conceptually, it only computes the AquaShan Index for river health and does not explicitly quantify resilience or state any calculated variable is a proxy for resilience."
65,IN,"The study explicitly quantifies “structural resilience” by deriving an RPA polynomial and setpoint (Z=k) via Gröbner bases and then exhaustively computing which network structures exhibit this property (e.g., 339 networks)."
1097,IN,The Methods explicitly quantify community resilience as the absolute value of the dominant eigenvalue of the Jacobian matrix at equilibrium and report results relating resilience to network properties.
91,OUT,"The paper discusses resilience conceptually (e.g., functional diversity declines “could erode ecosystem resilience”) but does not define, compute, or use any quantitative resilience metric/proxy in its analyses."
143,IN,"The Methods explicitly construct and compute a quantitative “ecological resilience surface” by calibrating resistance values using NTL, ERI, and CI with given equations (9–13) and report resulting resistance-surface values and corridor outputs."
252,OUT,"Although “resilience” is mentioned conceptually, the study only quantifies seagrass growth and microbial metrics and provides no mathematical resilience index/proxy explicitly stated or calculated."
104,OUT,"Although recruitment is discussed as an indicator/proxy of kelp forest resilience, the paper does not provide any mathematical expression, index, or quantitative method that computes resilience itself."
43,OUT,"This is a News & Views piece that discusses Blake et al.'s resilience estimate as system 'potential' but does not itself present a mathematical expression, index, or quantitative results computing resilience."
181,IN,"The paper explicitly evaluates ecosystem resilience via quantified “structure stability analysis” using co-occurrence network metrics (e.g., modularity, edges/nodes, avgCC) to compare stability between land-use conversions and reports the computed results."
170,IN,"The Methods explicitly define and compute resilience quantitatively as the change in resident-community synchrony (variance ratio, VR) pre- vs post-invasion, and report post-invasion VR results."
273,OUT,"Although resilience is mentioned conceptually (e.g., legacy effects used to characterize forest resilience), the study quantitatively analyzes legacy/lag effects and biological memory without defining or computing any resilience metric or explicit proxy as a quantified variable."
266,OUT,"Although resilience is discussed conceptually (e.g., as recolonization), the study quantifies immigration/emigration and recolonization pathways but does not provide or compute a mathematical resilience metric/index explicitly labeled as resilience or a stated proxy for resilience."
232,IN,The study explicitly quantifies ecological resilience as a PSR criterion layer using a defined NDVI slope (linear regression) formula (Eq. 3) to compute a resilience layer index (RLI) and uses it in the NOEV calculation (Eq. 6).
160,IN,The study explicitly defines resilience quantitatively as recovery of response variables to pre-fire levels within a time period shorter than the average fire return interval and reports recovery times (c. 50–80 years) relative to mean FRI.
