paper_id,Criteria met,Justification
1074,IN,"The study explicitly defines resilience as mean herbivore biomass and provides equations (e.g., eqns 5–9) to calculate equilibrium mean biomass under static vs rotational MPAs, reporting results comparing strategies."
80,IN,"The Methods explicitly quantify drought resilience using Lloret et al. (2011) resilience indices (Rt, Rc, Rs) with given formulas and report results for resilience (Rs) in relation to drought and pathogen effects."
777,OUT,"Although the paper discusses “high carbon resilience” conceptually, it does not define or compute any resilience metric/index or explicitly state that any quantified variable is a proxy for resilience."
218,IN,The Methods explicitly quantify drought resilience using standardized impact (I) and recovery rate (RR) as proxies for ecological resilience with given formulas and analyze these metrics across overstory functional groups.
581,IN,The study explicitly treats predicted recovery time (derived from modeled annual rate of change in sagebrush cover after well-pad disturbance) as an indicator/proxy for resilience and computes it quantitatively across the landscape.
373,OUT,"Although the paper discusses drought resilience conceptually, it quantitatively analyzes phenotypic plasticity (RDPI) and ecotypic differentiation of traits under drought without explicitly defining or computing resilience (or a stated proxy) as an outcome/predictor."
237,OUT,"Although resilience is mentioned conceptually, the study does not explicitly quantify resilience or state/use any measured variable as a proxy for resilience in its quantitative analyses."
1110,OUT,"Although resilience is discussed conceptually (e.g., inferred from long-lasting treatment effects), the study does not define or compute any quantitative resilience metric/index or explicitly use a measured variable as a stated proxy for resilience."
54,OUT,"Although the paper states the microbiome showed “high resilience to disturbance,” it does not define or compute any resilience metric/index or use a quantified resilience proxy in analyses."
751,OUT,"Resilience is only mentioned conceptually (e.g., “community stability and resilience”) while the quantitative analyses compute network metrics and pollinator-attraction indices/thresholds without explicitly defining or calculating resilience (or a stated proxy) as an outcome or predictor."
251,OUT,"Although resilience is discussed, the quantitative analyses measure seed removal, organism abundances, and path coefficients without defining or computing a resilience metric/index or explicitly using a stated proxy for resilience."
229,OUT,"Although resilience is discussed conceptually (e.g., “reference condition for resilient post-fire recovery”), the study quantitatively analyzes regeneration/biomass/fuels without defining or computing a resilience metric or explicit proxy as resilience."
260,IN,"The study explicitly quantifies farmland ecosystem resilience (FER) using a defined DR-based indicator system and provides equations (1–2) to calculate FER and related components with reported results (e.g., FER trend and AV)."
1034,OUT,The paper quantifies fish species tolerance to human pressures (with formulas and indices) but does not explicitly measure or use any variable as resilience or a stated proxy for resilience in its quantitative analysis.
768,IN,The study explicitly frames compositional change after disturbance as community resilience and quantitatively computes post- vs pre-disturbance response metrics (Bray–Curtis dissimilarity and richness) transformed into Hedges g with an explicit formula and modeled against predictors.
989,OUT,"Although metrics include FishBase “resilience” categories (e.g., densities of individuals with high/medium resilience), the paper does not explicitly frame these as quantified resilience or proxies for resilience nor compute a resilience index/method within a resilience framework."
23,OUT,"Although “resilient/resilience” is mentioned conceptually, the study quantifies predator-exclusion effects on community variables and thresholds (e.g., grazer density) but does not define, compute, or use any numerical resilience metric/proxy as resilience in its analyses."
178,IN,"The study explicitly quantifies ecological resilience by constructing an ER index system (resistance, adaptability, recovery) and calculating city-level ER scores using the entropy method with provided equations and reported results."
195,OUT,"Although resilience is discussed conceptually (e.g., forests being resilient by returning to a pre-disturbance state vs transitioning to an alternative stable state), the study does not compute or use any explicit resilience metric/index or state it uses a quantified proxy for resilience."
256,IN,"The study explicitly quantifies resilience as “ability to recover from disturbance” using computed recovery metrics (damping time, T0, Thalf) derived from simulations and compares them between climatic centre and edges."
33,OUT,"The paper quantifies reef state shifts and transition probabilities but does not explicitly define, compute, or use any resilience metric/proxy as “resilience” within a resilience framework."
493,IN,"The Methods explicitly define and compute quantitative resistance and resilience indices (e.g., resilience = (Drecovery − Arecovery)/Arecovery) and report results for these metrics across ecosystem functions and multifunctionality."
267,IN,The Methods explicitly define and compute resilience as the slope of the ln-response ratio (treatment/control) over time and report resilience results for functional and energy flux stability.
139,OUT,"Although the paper discusses resilience conceptually (as stability/resistance/recovery) and quantifies cover, FDis, WUE, and tipping points, it does not provide a mathematical expression/index/method that explicitly computes “resilience” or states any measured variable is a proxy for resilience."
257,IN,The study explicitly quantifies drought resilience via computed resistance (maximum perennial grass cover loss relative to a no-drought control) and recovery (time to regain 80% of control cover) and reports results across scenarios.
87,IN,"The paper explicitly assesses ecological network resilience using a cascade failure model under four disturbance scenarios and quantifies it via defined network metrics with equations (e.g., connectivity robustness, global efficiency, natural connectivity) and reports scenario-specific resilience changes and collapse thresholds."
90,IN,"The Methods explicitly define and compute ecological network resilience using the largest connectivity subgraph S = n/N (and a combined normalized resilience R from S and network efficiency E) under simulated disturbance/attack scenarios, and report resilience thresholds and comparative impacts of NPAs vs NUPAs."
141,OUT,"Although the paper discusses forest “resistance and resilience” conceptually, it quantitatively models tree growth responses to climate anomalies and neighbourhood crowding without defining or calculating any resilience metric or explicit proxy for resilience."
63,OUT,"Although resilience is discussed conceptually (e.g., “weakening of resilience” and “To enhance resilience”), the study does not define or compute any quantitative resilience metric/index or explicitly use a quantified proxy for resilience in its analyses."
89,OUT,"The paper quantifies network robustness/connectivity (e.g., global communication efficiency EG and robustness RG under edge-based attacks) but does not explicitly define or compute “resilience” or state any measured variable is a proxy for resilience."
58,OUT,"Although the paper mentions “ecosystem resilience” conceptually, it only quantifies river health via the AquaShan Index and does not explicitly compute or use a resilience metric/proxy as such."
65,IN,The study explicitly quantifies “structural resilience” by mathematically identifying networks where at steady state a species returns to a perturbation-independent setpoint (Z = k) via an RPA polynomial/Gröbner-basis method and reports counts of structurally resilient networks.
1097,IN,"The Methods explicitly quantify community resilience as return rate to equilibrium after perturbation using the absolute value of the dominant eigenvalue of the Jacobian at equilibrium, and report resilience results across network structures."
91,OUT,"Although “resilience” is mentioned conceptually (e.g., functional diversity declines “could erode ecosystem resilience”), the study only quantifies biodiversity/trait metrics (e.g., TRic, PRic, FRic, Rao’s entropy) and does not explicitly define or compute resilience (or a stated proxy) as an index or predictor."
143,OUT,"Although it mentions a “comprehensive ecological resilience surface,” the study only constructs ecological security patterns (sources/resistance/corridors) and does not explicitly quantify resilience or state any measured variable is a proxy for resilience."
252,OUT,"Although resilience is discussed conceptually (e.g., “seagrass resilience depends on…microbiota”), the study quantitatively analyzes leaf growth and microbial metrics without defining or computing any resilience index/proxy as such."
104,IN,The paper explicitly frames recruitment as an “indicator of resilience” and quantitatively measures recruitment (recruits/0.25 m2) as that proxy via GLMM analyses.
43,OUT,"This is a News & Views piece that conceptually discusses Blake et al.’s resilience quantification (as system ‘potential’) but does not itself present a mathematical expression, compute a resilience index, or report original resilience calculations."
181,OUT,"Although the paper discusses “resilience” conceptually, it quantitatively analyzes ecosystem/network stability (e.g., modularity, edges/nodes, avgCC) without explicitly defining or computing a resilience metric/proxy as resilience."
170,IN,The study explicitly quantifies resistance and “resilience” (as change in community synchrony after invasion) using a defined variance ratio (VR) metric and compares pre- vs post-invasion VR to compute resilience results.
273,OUT,"Although resilience is mentioned conceptually, the quantitative analysis only computes drought “legacy effects” (growth residuals after extreme events) and does not explicitly define or calculate resilience or a stated proxy for resilience."
266,OUT,"Although resilience is discussed conceptually (e.g., as recolonization) and recovery-related variables are analyzed, the study does not explicitly compute or use a quantitative resilience metric/index as “resilience” (or a stated proxy) in its analyses."
232,IN,The study explicitly quantifies resilience as a PSR criterion layer using a standardized NDVI slope (linear regression) metric (Eq. 3) and reports resilience-layer results.
160,IN,The study explicitly defines resilience as recovery of response variables to pre-fire levels within a time period shorter than the mean fire return interval and quantitatively evaluates postfire recovery times of biogeochemical and pollen proxies relative to fire return intervals.
